# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_exon_region	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
WD_0186	WD_0186	WD_0186	protein_coding	3030	1320	242	0	1468
WD_0187	WD_0187	WD_0187	protein_coding	2600	1098	0	0	1502
WD_0191	WD_0191	WD_0191	protein_coding	3242	1442	198	0	1602
WD_0192	WD_0192	WD_0192	protein_coding	3178	1468	88	0	1622
WD_0193	WD_0193	WD_0193	protein_coding	3196	1520	18	0	1658
WD_0194	WD_0194	WD_0194	protein_coding	3185	1638	45	0	1502
WD_0196	WD_0196	WD_0196	protein_coding	3074	1346	86	0	1642
WD_0198	WD_0198	WD_0198	protein_coding	3690	1692	240	0	1758
WD_0199	WD_0199	WD_0199	protein_coding	3114	1876	36	0	1202
WD_0200	WD_0200	WD_0200	protein_coding	3008	1788	0	0	1220
WD_0202	WD_0202	WD_0202	protein_coding	3043	1210	63	0	1770
WD_0204	WD_0204	WD_0204	protein_coding	2771	1272	27	0	1472
WD_0205	WD_0205	WD_0205	protein_coding	2606	1260	18	0	1328
WD_0206	WD_0206	WD_0206	protein_coding	2714	1422	0	0	1292
WD_0208	WD_0208	WD_0208	protein_coding	2808	1206	252	0	1350
WD_0209	WD_0209	WD_0209	protein_coding	2632	1404	0	0	1228
WD_0210	WD_0210	WD_0210	protein_coding	2794	1210	162	0	1422
WD_0211	WD_0211	WD_0211	protein_coding	3014	1214	288	0	1512
WD_0213	WD_0213	WD_0213	protein_coding	2889	1530	9	0	1350
WD_0214	WD_0214	WD_0214	protein_coding	3114	1314	234	0	1566
WD_0215	WD_0215	WD_0215	protein_coding	3024	1440	36	0	1548
WD_0216	WD_0216	WD_0216	protein_coding	3040	1404	108	0	1528
WD_0217	WD_0217	WD_0217	protein_coding	2858	1382	0	0	1476
WD_0219	WD_0219	WD_0219	protein_coding	3027	1434	81	0	1512
WD_0220	WD_0220	WD_0220	protein_coding	2937	1452	9	0	1476
WD_0221	WD_0221	WD_0221	protein_coding	3414	1512	468	0	1434
WD_0222	WD_0222	WD_0222	protein_coding	3054	1566	54	0	1434
WD_0223	WD_0223	WD_0223	protein_coding	4378	1512	1398	0	1468
WD_0225	WD_0225	WD_0225	protein_coding	2927	1494	17	0	1416
WD_0226	WD_0226	WD_0226	protein_coding	3136	1458	136	0	1542
WD_0227	WD_0227	WD_0227	protein_coding	3312	1378	666	0	1268
WD_0229	WD_0229	WD_0229	protein_coding	3122	1490	318	0	1314
WD_0231	WD_0231	WD_0231	protein_coding	2962	1488	302	0	1172
WD_0232	WD_0232	WD_0232	protein_coding	2589	1188	79	0	1322
WD_0233	WD_0233	WD_0233	protein_coding	2611	1156	69	0	1386
WD_0234	WD_0234	WD_0234	protein_coding	2510	1262	0	0	1248
WD_0236	WD_0236	WD_0236	protein_coding	2740	1234	180	0	1326
WD_0237	WD_0237	WD_0237	protein_coding	2550	1380	0	0	1170
WD_0239	WD_0239	WD_0239	protein_coding	2433	1292	35	0	1106
WD_0241	WD_0241	WD_0241	protein_coding	2702	1430	0	0	1272
WD_0242	WD_0242	WD_0242	protein_coding	2868	1258	194	0	1416
WD_0244	WD_0244	WD_0244	protein_coding	2656	1346	36	0	1274
WD_0246	WD_0246	WD_0246	protein_coding	2710	1398	108	0	1204
WD_0248	WD_0248	WD_0248	protein_coding	2968	1358	378	0	1232
WD_0249	WD_0249	WD_0249	protein_coding	2443	1160	27	0	1256
WD_0251	WD_0251	WD_0251	protein_coding	2353	1032	99	0	1222
WD_0252	WD_0252	WD_0252	protein_coding	2656	1310	264	0	1082
WD_0253	WD_0253	WD_0253	protein_coding	2738	1286	162	0	1290
WD_0254	WD_0254	WD_0254	protein_coding	2698	1160	160	0	1378
WD_0255	WD_0255	WD_0255	protein_coding	2768	1160	230	0	1378
WD_0256	WD_0256	WD_0256	protein_coding	2824	1104	252	0	1468
WD_0257	WD_0257	WD_0257	protein_coding	2612	1036	54	0	1522
WD_0259	WD_0259	WD_0259	protein_coding	3474	1360	284	0	1830
WD_0261	WD_0261	WD_0261	protein_coding	3326	1876	18	0	1432
WD_0262	WD_0262	WD_0262	protein_coding	3371	1912	27	9	1432
WD_0263	WD_0263	WD_0263	protein_coding	3444	1760	180	0	1504
WD_0264	WD_0264	WD_0264	protein_coding	3559	1726	27	0	1806
WD_0265	WD_0265	WD_0265	protein_coding	3619	1750	97	0	1772
WD_0266	WD_0266	WD_0266	protein_coding	3632	1664	52	0	1916
WD_0267	WD_0267	WD_0267	protein_coding	3711	1700	27	0	1984
WD_0268	WD_0268	WD_0268	protein_coding	3716	1750	0	0	1966
WD_0269	WD_0269	WD_0269	protein_coding	3777	1838	27	0	1912
WD_0273	WD_0273	WD_0273	protein_coding	3355	1584	35	0	1736
WD_0274	WD_0274	WD_0274	protein_coding	3355	1560	63	0	1732
WD_0275	WD_0275	WD_0275	protein_coding	3402	1582	16	0	1804
WD_0276	WD_0276	WD_0276	protein_coding	3686	1770	180	0	1736
WD_0277	WD_0277	WD_0277	protein_coding	3255	1686	17	0	1552
WD_0278	WD_0278	WD_0278	protein_coding	3280	1706	26	0	1548
WD_0279	WD_0279	WD_0279	protein_coding	3226	1670	0	0	1556
WD_0281	WD_0281	WD_0281	protein_coding	3371	1748	7	0	1616
WD_0282	WD_0282	WD_0282	protein_coding	3402	1800	0	0	1602
WD_0283	WD_0283	WD_0283	protein_coding	3294	1692	0	0	1602
WD_0284	WD_0284	WD_0284	protein_coding	3221	1564	115	0	1542
WD_0285	WD_0285	WD_0285	protein_coding	3186	1516	18	0	1652
WD_0286	WD_0286	WD_0286	protein_coding	3124	1446	26	0	1652
WD_0287	WD_0287	WD_0287	protein_coding	3053	1350	53	0	1650
WD_0288	WD_0288	WD_0288	protein_coding	2927	1114	121	0	1692
WD_0289	WD_0289	WD_0289	protein_coding	2824	1096	0	0	1728
WD_0290	WD_0290	WD_0290	protein_coding	2843	1064	69	0	1710
WD_0291	WD_0291	WD_0291	protein_coding	2808	1564	162	0	1082
WD_0292	WD_0292	WD_0292	protein_coding	3172	1534	562	0	1076
WD_0293	WD_0293	WD_0293	protein_coding	2326	1232	0	0	1094
WD_0294	WD_0294	WD_0294	protein_coding	2612	1196	286	0	1130
WD_0295	WD_0295	WD_0295	protein_coding	2194	1184	0	0	1010
WD_0296	WD_0296	WD_0296	protein_coding	2532	1102	252	0	1178
WD_0297	WD_0297	WD_0297	protein_coding	2301	1178	9	0	1114
WD_0299	WD_0299	WD_0299	protein_coding	2466	1130	18	0	1318
WD_0305	WD_0305	WD_0305	protein_coding	3082	1614	182	0	1286
WD_0306	WD_0306	WD_0306	protein_coding	2902	1646	18	0	1238
WD_0309	WD_0309	WD_0309	protein_coding	3038	1458	80	0	1500
WD_0310	WD_0310	WD_0310	protein_coding	3073	1458	9	9	1606
WD_0311	WD_0311	WD_0311	protein_coding	3086	1754	18	0	1314
WD_0313	WD_0313	WD_0313	protein_coding	3064	1582	54	0	1428
WD_0314	WD_0314	WD_0314	protein_coding	2978	1532	52	0	1394
WD_0315	WD_0315	WD_0315	protein_coding	3246	1508	358	0	1380
WD_0316	WD_0316	WD_0316	protein_coding	3106	1458	232	0	1416
WD_0320	WD_0320	WD_0320	protein_coding	2962	1416	226	0	1320
WD_0321	WD_0321	WD_0321	protein_coding	2628	1392	44	0	1192
WD_0324	WD_0324	WD_0324	protein_coding	2521	1386	9	0	1126
WD_0327	WD_0327	WD_0327	protein_coding	2868	1430	36	0	1402
WD_0328	WD_0328	WD_0328	protein_coding	2782	1326	108	0	1348
WD_0330	WD_0330	WD_0330	protein_coding	2932	1474	72	0	1386
WD_0331	WD_0331	WD_0331	protein_coding	2738	1494	8	0	1236
WD_0332	WD_0332	WD_0332	protein_coding	2623	1360	63	0	1200
WD_0335	WD_0335	WD_0335	protein_coding	3236	1420	594	0	1222
WD_0338	WD_0338	WD_0338	protein_coding	2524	1186	54	0	1284
WD_0341	WD_0341	WD_0341	protein_coding	2282	1024	62	0	1196
WD_0342	WD_0342	WD_0342	protein_coding	2178	1024	8	0	1146
WD_0343	WD_0343	WD_0343	protein_coding	2337	1150	9	0	1178
WD_0345	WD_0345	WD_0345	protein_coding	2764	1084	246	0	1434
WD_0346	WD_0346	WD_0346	protein_coding	2852	1152	216	0	1484
WD_0347	WD_0347	WD_0347	protein_coding	2648	1538	0	0	1110
WD_0349	WD_0349	WD_0349	protein_coding	2724	1370	8	0	1346
WD_0350	WD_0350	WD_0350	protein_coding	2730	1340	80	0	1310
WD_0351	WD_0351	WD_0351	protein_coding	2984	1486	88	0	1410
WD_0353	WD_0353	WD_0353	protein_coding	3368	1506	248	0	1614
WD_0355	WD_0355	WD_0355	protein_coding	3207	1814	35	0	1358
WD_0356	WD_0356	WD_0356	protein_coding	3172	1688	0	0	1484
WD_0358	WD_0358	WD_0358	protein_coding	3281	1714	9	0	1558
WD_0359	WD_0359	WD_0359	protein_coding	3856	1578	1112	0	1166
WD_0361	WD_0361	WD_0361	protein_coding	2993	1222	17	0	1754
WD_0362	WD_0362	WD_0362	protein_coding	2907	1202	27	0	1678
WD_0363	WD_0363	WD_0363	protein_coding	2808	1202	0	0	1606
WD_0364	WD_0364	WD_0364	protein_coding	2814	1218	62	0	1534
WD_0365	WD_0365	WD_0365	protein_coding	2567	1242	43	0	1282
WD_0366	WD_0366	WD_0366	protein_coding	2444	1184	0	0	1260
WD_0367	WD_0367	WD_0367	protein_coding	2426	1166	18	0	1242
WD_0368	WD_0368	WD_0368	protein_coding	2409	1190	35	0	1184
WD_0369	WD_0369	WD_0369	protein_coding	2390	1190	0	0	1200
WD_0373	WD_0373	WD_0373	protein_coding	2558	1216	0	0	1342
WD_0377	WD_0377	WD_0377	protein_coding	2997	1680	45	0	1272
WD_0378	WD_0378	WD_0378	protein_coding	3418	1324	262	18	1832
WD_0379	WD_0379	WD_0379	protein_coding	3207	1816	71	9	1320
WD_0380	WD_0380	WD_0380	protein_coding	3350	1444	162	0	1744
WD_0381	WD_0381	WD_0381	protein_coding	3276	1478	108	0	1690
WD_0382	WD_0382	WD_0382	protein_coding	3096	1396	270	0	1430
WD_0383	WD_0383	WD_0383	protein_coding	3313	1454	27	0	1832
WD_0384	WD_0384	WD_0384	protein_coding	3257	1498	87	0	1672
WD_0385	WD_0385	WD_0385	protein_coding	3386	1664	106	0	1616
WD_0386	WD_0386	WD_0386	protein_coding	3080	1380	36	0	1664
WD_0389	WD_0389	WD_0389	protein_coding	2980	1446	18	0	1516
WD_0390	WD_0390	WD_0390	protein_coding	3085	1474	17	0	1594
WD_0394	WD_0394	WD_0394	protein_coding	3183	1614	99	0	1470
WD_0395	WD_0395	WD_0395	protein_coding	3428	1456	198	0	1774
WD_0397	WD_0397	WD_0397	protein_coding	3060	1620	16	0	1424
WD_0398	WD_0398	WD_0398	protein_coding	3246	1494	112	0	1640
WD_0399	WD_0399	WD_0399	protein_coding	3178	1616	70	0	1492
WD_0400	WD_0400	WD_0400	protein_coding	3134	1404	116	0	1614
WD_0401	WD_0401	WD_0401	protein_coding	3162	1384	18	0	1760
WD_0403	WD_0403	WD_0403	protein_coding	3234	1594	0	0	1640
WD_0404	WD_0404	WD_0404	protein_coding	3262	1616	18	0	1628
WD_0405	WD_0405	WD_0405	protein_coding	3162	1676	0	0	1486
WD_0406	WD_0406	WD_0406	protein_coding	3243	1760	7	0	1476
WD_0407	WD_0407	WD_0407	protein_coding	3584	1536	370	0	1678
WD_0409	WD_0409	WD_0409	protein_coding	3084	1384	36	0	1664
WD_0410	WD_0410	WD_0410	protein_coding	3156	1648	0	0	1508
WD_0411	WD_0411	WD_0411	protein_coding	3434	1578	216	0	1640
WD_0412	WD_0412	WD_0412	protein_coding	3378	1578	106	0	1694
WD_0414	WD_0414	WD_0414	protein_coding	3454	1670	62	0	1722
WD_0415	WD_0415	WD_0415	protein_coding	3492	1680	336	16	1476
WD_0417	WD_0417	WD_0417	protein_coding	3060	1406	0	0	1654
WD_0418	WD_0418	WD_0418	protein_coding	2979	1368	45	0	1566
WD_0419	WD_0419	WD_0419	protein_coding	2868	1410	18	0	1440
WD_0420	WD_0420	WD_0420	protein_coding	2936	1442	18	0	1476
WD_0421	WD_0421	WD_0421	protein_coding	2821	1278	99	0	1444
WD_0424	WD_0424	WD_0424	protein_coding	2644	1400	0	0	1244
WD_0426	WD_0426	WD_0426	protein_coding	2566	1442	72	0	1052
WD_0429	WD_0429	WD_0429	protein_coding	2640	1252	0	0	1388
WD_0430	WD_0430	WD_0430	protein_coding	2612	1254	42	0	1316
WD_0431	WD_0431	WD_0431	protein_coding	2872	1436	0	0	1436
WD_0432	WD_0432	WD_0432	protein_coding	2870	1620	0	0	1250
WD_0434	WD_0434	WD_0434	protein_coding	3382	1212	216	0	1954
WD_0436	WD_0436	WD_0436	protein_coding	3210	1644	36	0	1530
WD_0438	WD_0438	WD_0438	protein_coding	3704	2008	408	0	1288
WD_0440	WD_0440	WD_0440	protein_coding	3594	1734	466	0	1394
WD_0441	WD_0441	WD_0441	protein_coding	2908	1326	306	0	1276
WD_0442	WD_0442	WD_0442	protein_coding	2830	1268	352	0	1210
WD_0443	WD_0443	WD_0443	protein_coding	2669	1216	63	0	1390
WD_0444	WD_0444	WD_0444	protein_coding	2638	1268	0	0	1370
WD_0445	WD_0445	WD_0445	protein_coding	2908	1430	170	0	1308
WD_0446	WD_0446	WD_0446	protein_coding	2648	1276	54	0	1318
WD_0447	WD_0447	WD_0447	protein_coding	2572	1204	128	0	1240
WD_0449	WD_0449	WD_0449	protein_coding	2450	1208	18	0	1224
WD_0452	WD_0452	WD_0452	protein_coding	2607	1316	103	0	1188
WD_0453	WD_0453	WD_0453	protein_coding	2786	1292	68	0	1426
WD_0455	WD_0455	WD_0455	protein_coding	2872	1600	68	0	1204
WD_0456	WD_0456	WD_0456	protein_coding	2780	1532	8	0	1240
WD_0457	WD_0457	WD_0457	protein_coding	2769	1566	9	0	1194
WD_0458	WD_0458	WD_0458	protein_coding	2834	1118	596	0	1120
WD_0459	WD_0459	WD_0459	protein_coding	2537	1140	9	0	1388
WD_0460	WD_0460	WD_0460	protein_coding	2854	1480	104	0	1270
WD_0462	WD_0462	WD_0462	protein_coding	3330	1538	358	0	1434
WD_0463	WD_0463	WD_0463	protein_coding	3308	1482	234	0	1592
WD_0465	WD_0465	WD_0465	protein_coding	3056	1586	36	0	1434
WD_0466	WD_0466	WD_0466	protein_coding	3106	1378	178	0	1550
WD_0467	WD_0467	WD_0467	protein_coding	2998	1496	0	0	1502
WD_0469	WD_0469	WD_0469	protein_coding	2999	1296	9	0	1694
WD_0470	WD_0470	WD_0470	protein_coding	3440	1678	342	0	1420
WD_0471	WD_0471	WD_0471	protein_coding	3112	1496	26	0	1590
WD_0472	WD_0472	WD_0472	protein_coding	3203	1572	63	0	1568
WD_0473	WD_0473	WD_0473	protein_coding	3042	1742	0	0	1300
WD_0474	WD_0474	WD_0474	protein_coding	3162	1296	160	0	1706
WD_0478	WD_0478	WD_0478	protein_coding	3868	1590	378	0	1900
WD_0480	WD_0480	WD_0480	protein_coding	3518	1706	270	0	1542
WD_0481	WD_0481	WD_0481	protein_coding	3392	1742	72	0	1578
WD_0482	WD_0482	WD_0482	protein_coding	3514	1706	322	0	1486
WD_0483	WD_0483	WD_0483	protein_coding	3548	1794	324	0	1430
WD_0484	WD_0484	WD_0484	protein_coding	3348	1740	342	0	1266
WD_0485	WD_0485	WD_0485	protein_coding	3402	1920	124	0	1358
WD_0486	WD_0486	WD_0486	protein_coding	3420	1794	214	0	1412
WD_0489	WD_0489	WD_0489	protein_coding	3196	1466	198	0	1532
WD_0490	WD_0490	WD_0490	protein_coding	2811	1534	9	0	1268
WD_0491	WD_0491	WD_0491	protein_coding	2796	1494	18	0	1284
WD_0493	WD_0493	WD_0493	protein_coding	3396	1396	374	0	1626
WD_0496	WD_0496	WD_0496	protein_coding	2929	1362	35	0	1532
WD_0497	WD_0497	WD_0497	protein_coding	2836	1576	72	0	1188
WD_0498	WD_0498	WD_0498	protein_coding	2826	1136	54	0	1636
WD_0499	WD_0499	WD_0499	protein_coding	2846	1254	0	0	1592
WD_0500	WD_0500	WD_0500	protein_coding	2963	1360	79	0	1524
WD_0501	WD_0501	WD_0501	protein_coding	3166	1486	160	0	1520
WD_0503	WD_0503	WD_0503	protein_coding	3258	1414	284	0	1560
WD_0504	WD_0504	WD_0504	protein_coding	2766	1188	18	0	1560
WD_0507	WD_0507	WD_0507	protein_coding	2904	1610	144	0	1150
WD_0508	WD_0508	WD_0508	protein_coding	2956	1612	198	0	1146
WD_0511	WD_0511	WD_0511	protein_coding	2411	1166	81	0	1164
WD_0512	WD_0512	WD_0512	protein_coding	3084	1150	736	0	1198
WD_0513	WD_0513	WD_0513	protein_coding	4700	1240	2006	0	1454
WD_0514	WD_0514	WD_0514	protein_coding	2762	1076	482	0	1204
WD_0515	WD_0515	WD_0515	protein_coding	2652	1376	80	0	1196
WD_0516	WD_0516	WD_0516	protein_coding	2650	1348	20	0	1282
WD_0517	WD_0517	WD_0517	protein_coding	2704	1254	60	0	1390
WD_0519	WD_0519	WD_0519	protein_coding	2810	1448	150	0	1212
WD_0521	WD_0521	WD_0521	protein_coding	2564	1222	18	0	1324
WD_0522	WD_0522	WD_0522	protein_coding	2584	1188	54	0	1342
WD_0523	WD_0523	WD_0523	protein_coding	2752	1222	196	0	1334
WD_0525	WD_0525	WD_0525	protein_coding	2722	1386	18	0	1318
WD_0528	WD_0528	WD_0528	protein_coding	2634	1246	16	0	1372
WD_0534	WD_0534	WD_0534	protein_coding	3032	1628	18	0	1386
WD_0536	WD_0536	WD_0536	protein_coding	3125	1608	27	0	1490
WD_0537	WD_0537	WD_0537	protein_coding	3242	1544	126	0	1572
WD_0539	WD_0539	WD_0539	protein_coding	3407	1642	149	0	1616
WD_0540	WD_0540	WD_0540	protein_coding	3442	1732	36	0	1674
WD_0546	WD_0546	WD_0546	protein_coding	3085	1526	9	0	1550
WD_0547	WD_0547	WD_0547	protein_coding	3112	1544	0	0	1568
WD_0548	WD_0548	WD_0548	protein_coding	3254	1406	322	0	1526
WD_0550	WD_0550	WD_0550	protein_coding	3082	1650	162	0	1270
WD_0551	WD_0551	WD_0551	protein_coding	2956	1544	180	0	1232
WD_0552	WD_0552	WD_0552	protein_coding	2882	1508	108	0	1266
WD_0553	WD_0553	WD_0553	protein_coding	2858	1598	18	0	1242
WD_0557	WD_0557	WD_0557	protein_coding	2816	1216	108	0	1492
WD_0558	WD_0558	WD_0558	protein_coding	3026	1270	354	0	1402
WD_0562	WD_0562	WD_0562	protein_coding	2714	1582	18	0	1114
WD_0563	WD_0563	WD_0563	protein_coding	2780	1226	62	0	1492
WD_0564	WD_0564	WD_0564	protein_coding	2628	1228	18	0	1382
WD_0565	WD_0565	WD_0565	protein_coding	2728	1358	196	0	1174
WD_0566	WD_0566	WD_0566	protein_coding	2550	1304	138	0	1108
WD_0567	WD_0567	WD_0567	protein_coding	2670	1226	214	0	1230
WD_0568	WD_0568	WD_0568	protein_coding	2382	1116	52	0	1214
WD_0569	WD_0569	WD_0569	protein_coding	2400	1096	108	0	1196
WD_0570	WD_0570	WD_0570	protein_coding	2930	1168	464	0	1298
WD_0571	WD_0571	WD_0571	protein_coding	2616	1228	18	0	1370
