chrom	start	end	nSites	recombRate	CI95LO	CI95HI
2L	10925100	10984800	1136	3.851684072415179e-09	1.0031734894506429e-09	1.2733964494699516e-08
2L	10984800	11044500	929	1.1736394878230605e-09	0	5.705871188871832e-09
2L	11044500	11104200	1057	6.426147666801044e-09	1.3774166113551452e-09	1.6976124958574913e-08
2L	11104200	11163900	984	2.009348480936717e-09	0	7.158266972507667e-09
2L	11163900	11223600	1271	1.5266594967872285e-10	0	4.300191694747215e-09
2L	11223600	11283300	831	7.384525121452652e-09	1.886039587902173e-09	1.78670164852695e-08
2L	11283300	11343000	1219	1.1032720201211764e-08	3.324555761143931e-09	2.038245305581393e-08
2L	11343000	11402700	1410	1.1209225082565018e-08	2.9773863829855763e-09	2.0475020546795584e-08
2L	11402700	11462400	1223	1.0800094173389657e-08	2.568255473810215e-09	2.006588963762022e-08
2L	11462400	11522100	1325	7.445016602475464e-10	0	5.034042294053699e-09
2L	11522100	11581800	910	6.165874224897724e-09	1.4885702585371554e-09	1.5848993597891765e-08
2L	11581800	11641500	1159	2.8375308102511195e-10	0	4.431278826093604e-09
2L	11641500	11701200	1274	4.2478038582174915e-09	1.0198290374432985e-09	1.3263544945243677e-08
2L	11701200	11760900	745	2.527138647054149e-09	1.3088860421875814e-10	8.820645162985005e-09
2L	11760900	11820600	813	1.9577771196122527e-09	0	7.106695611183203e-09
2L	11820600	11880300	1366	1.0530245551472928e-09	0	5.342565188953445e-09
2L	11880300	11940000	1365	9.542660250308528e-09	2.2996465281838696e-09	1.9706643860620316e-08
2L	11940000	11999700	824	4.1103818926209536e-09	1.1089719276120928e-09	1.300464663954907e-08
2L	11999700	12059400	820	2.8951129528063137e-09	3.8172321202934105e-10	9.718865138331534e-09
2L	12059400	12119100	1282	5.720379253162897e-10	0	4.414946361230016e-09
2L	12119100	12178800	1626	2.870776158286355e-09	3.5738641750938225e-10	9.694528343811575e-09
2L	12178800	12238500	1245	3.396127779062603e-09	6.792547636111767e-10	1.122287307537582e-08
2L	12238500	12298200	1297	2.3285219835278383e-09	0	8.170047624509453e-09
2L	12298200	12357900	1290	7.3760763231765905e-09	1.6439104700870357e-09	1.8096028315931362e-08
2L	12357900	12417600	1237	6.845298154602658e-09	1.5772414970324166e-09	1.8406813810558306e-08
2L	12417600	12477300	1157	5.105127771738844e-09	1.1644377307899639e-09	1.4527220611011821e-08
2L	12477300	12537000	1165	3.756778421680612e-09	7.553684566717513e-10	1.2651043168608727e-08
2L	12537000	12596700	1020	7.812559954899678e-09	1.7589964377719643e-09	1.857653939600819e-08
2L	12596700	12656400	1244	3.818907557995273e-09	8.174975929864119e-10	1.2713172304923389e-08
2L	12656400	12716100	1206	3.497470368867182e-10	0	4.49727278195521e-09
2L	12716100	12775800	937	3.1851396312239037e-09	4.682666157724775e-10	1.1011884927537121e-08
2L	12775800	12835500	759	3.6366244421999407e-09	7.881138592354046e-10	1.2518904864484278e-08
2L	12835500	12895200	921	3.4400762022106323e-09	7.232031867592061e-10	1.126682149852385e-08
2L	12895200	12954900	650	3.409874884101937e-09	5.61364301137401e-10	1.2292155306386274e-08
2L	12954900	13014600	723	1.6711401620019907e-09	0	5.94713663001923e-09
2L	13014600	13074300	843	1.3616801994038086e-09	0	5.89391190045258e-09
2L	13074300	13134000	1101	3.3815434483979502e-09	6.64670432946524e-10	1.1208288744711168e-08
2L	13134000	13193700	763	9.449659730655506e-09	2.2066460085308477e-09	1.9613643340967294e-08
2L	13193700	13253400	755	2.8869845892314134e-09	3.735948484544408e-10	9.710736774756634e-09
2L	13253400	13313100	1088	1.9125067282553456e-09	0	7.061425219826296e-09
2L	13313100	13372800	1050	3.3395897708225373e-09	6.227167553711111e-10	1.1166335067135755e-08
2L	13372800	13432500	762	3.387742210118259e-09	6.708691946668328e-10	1.1214487506431477e-08
2L	13432500	13492200	866	5.585891170468602e-10	0	4.401497552960587e-09
2L	13492200	13551900	761	1.252006257439137e-09	0	5.784237958487908e-09
2L	13551900	13611600	885	5.269180384113678e-10	0	4.369826474325094e-09
2L	13611600	13671300	793	4.111169402331041e-09	8.831945815568481e-10	1.3126910489357228e-08
2L	13671300	13731000	1091	6.104255006651739e-09	1.4269510402911705e-09	1.578737437964578e-08
2L	13731000	13790700	937	1.940517403838384e-09	0	7.089435895409334e-09
2L	13790700	13850400	1002	3.0519509466208165e-09	5.385612058438439e-10	9.875703132146037e-09
2L	13850400	13910100	959	2.9031065362749574e-09	3.897167954979847e-10	9.726858721800178e-09
2L	13910100	13969800	1334	8.467534768963571e-10	0	4.689661912810084e-09
2L	13969800	14029500	1261	1.0149997176692963e-09	0	5.304540351475449e-09
2L	14029500	14089200	1084	4.112316156401786e-09	8.843413356275932e-10	1.3128057243427973e-08
2L	14089200	14148900	816	3.114724887877041e-09	3.978518724256146e-10	1.0941470184190259e-08
2L	14148900	14208600	1006	3.805767620802685e-09	8.04357655793824e-10	1.27000323677308e-08
2L	14208600	14268300	1172	1.7435935600876906e-09	0	6.892512051658641e-09
2L	14268300	14328000	1059	0	0	2.404525121235679e-08
2L	14328000	14387700	1310	2.3630211980596406e-09	0	8.204546839041255e-09
2L	14387700	14447400	1132	2.8107821634883267e-09	2.973924227113541e-10	9.634534349013547e-09
2L	14447400	14507100	1055	3.027688281159298e-09	5.142985403823252e-10	9.851440466684518e-09
2L	14507100	14566800	1038	5.581968260575595e-10	0	4.7057225711260515e-09
2L	14566800	14626500	848	4.030684169455581e-09	1.0292742044467201e-09	1.2924948916383695e-08
2L	14626500	14686200	689	4.05047887439465e-09	1.0490689093857893e-09	1.2944743621322766e-08
2L	14686200	14745900	765	1.2130503140604088e-09	0	5.74528201510918e-09
2L	14745900	14805600	1087	5.779491561432481e-10	0	4.420857592056975e-09
2L	14805600	14865300	813	9.257011582681553e-10	0	5.215241792074308e-09
2L	14865300	14925000	967	1.0950769684728669e-08	3.2426052446608357e-09	2.0300502539330836e-08
2L	14925000	14984700	925	1.189700783818788e-09	0	5.721932484867559e-09
2L	14984700	15044400	931	5.122810360096097e-09	1.1821203191472167e-09	1.4544903199369074e-08
2L	15044400	15104100	1017	1.4685748132432571e-08	5.020110930704711e-09	2.1951297672213663e-08
2L	15104100	15163800	1122	2.432911628434179e-09	3.6661585598788274e-11	8.726418144365036e-09
2L	15163800	15223500	917	1.994232892019899e-09	0	7.143151383590849e-09
2L	15223500	15283200	962	3.686122197310036e-09	6.847122323011751e-10	1.2580386944238152e-08
2L	15283200	15342900	1235	1.1937059993097513e-09	0	5.725937700358523e-09
2L	15342900	15402600	1019	9.656860982742409e-11	0	2.4141819822184214e-08
2L	15402600	15462300	1007	2.576383928378111e-09	1.8013388554272035e-10	8.869890444308968e-09
2L	15462300	15522000	1037	1.981480447632801e-09	0	7.130398939203752e-09
2L	15522000	15581700	954	1.3159066289835377e-09	0	5.848138330032309e-09
2L	15581700	15641400	933	4.486059430393629e-09	1.138760681103667e-09	1.3955599693434324e-08
2L	15641400	15701100	159	3.991788877124669e-09	9.903789121158084e-10	1.2886053624052785e-08
2L	15701100	15760800	717	6.124376553348483e-09	1.447072586987915e-09	1.5807495926342524e-08
2L	15760800	15820500	1121	4.0904097272086434e-09	1.0889997621997826e-09	1.298467447413676e-08
2L	15820500	15880200	842	1.9081286211370683e-09	0	7.057047112708019e-09
2L	15880200	15939900	654	3.378920852163683e-09	6.620478367122566e-10	1.12056661484769e-08
2L	15939900	15999600	632	1.7557642036827758e-09	0	6.904682695253726e-09
2L	15999600	16059300	832	3.5440642042273594e-09	6.955536212628233e-10	1.2426344626511697e-08
2L	16059300	16119000	848	2.9380999445297032e-09	4.247102037527306e-10	9.761852130054923e-09
2L	16119000	16178700	882	5.058040281192996e-09	1.1487499230979323e-09	1.5105750056500105e-08
2L	16178700	16238400	992	1.7818508932489835e-09	0	6.930769384819934e-09
2L	16238400	16298100	801	3.4206880839254396e-09	7.038150684740134e-10	1.1247433380238657e-08
2L	16298100	16357800	953	1.2609421784840325e-09	0	5.793173879532804e-09
2L	16357800	16417500	1477	7.728409491615452e-09	1.9962436385258974e-09	1.8448361484370226e-08
2L	16417500	16477200	1155	1.250109227443557e-09	0	5.7823409284923284e-09
2L	16477200	16536900	916	4.517487904837855e-09	1.1701891555478936e-09	1.398702816787855e-08
2L	16536900	16596600	1024	6.3682854440169955e-09	1.3195543885710967e-09	1.6918262735790867e-08
2L	16596600	16656300	907	3.1600997338162996e-09	4.432267183648734e-10	1.0986845030129517e-08
2L	16656300	16716000	717	1.921550473385247e-09	0	7.070468964956198e-09
2L	16716000	16775700	748	1.174389763747897e-09	0	5.706621464796668e-09
2L	16775700	16835400	748	5.5957873148247385e-09	1.5005504096808325e-09	1.603941660952329e-08
2L	16835400	16895100	943	7.84736657336911e-10	0	4.6276450932506375e-09
2L	16895100	16954800	904	1.601007333710717e-09	0	5.877003801727956e-09
2L	16954800	17014500	683	3.891698923882483e-09	8.902889588736221e-10	1.2785963670810599e-08
2L	17014500	17074200	891	1.78198567335524e-09	0	6.930904164926191e-09
2L	17074200	17133900	799	1.7045319333273746e-09	0	5.980528401344614e-09
2L	17133900	17193600	765	8.946511912890021e-10	0	5.1841918250951545e-09
2L	17193600	17253300	866	3.292661584158657e-09	5.757885687072306e-10	1.1119406880471875e-08
2L	17253300	17313000	890	9.135361305108327e-10	0	5.203076764316985e-09
2L	17313000	17372700	917	2.0706769323460194e-10	0	4.354593438303094e-09
2L	17372700	17432400	1049	1.5694575571708593e-09	0	5.845454025188098e-09
2L	17432400	17492100	749	9.037994863115344e-09	2.103602314052538e-09	1.9280303775227098e-08
2L	17492100	17551800	1080	4.716966867464427e-09	8.076765093693631e-10	1.4764676642771535e-08
2L	17551800	17611500	997	2.189983758640496e-09	0	8.03150939962211e-09
2L	17611500	17671200	762	6.72165529610649e-09	1.672924240660591e-09	1.727163258788036e-08
2L	17671200	17730900	715	5.020398771312726e-10	0	4.344948313044999e-09
2L	17730900	17790600	986	1.849954052141837e-09	0	6.125950520159076e-09
2L	17790600	17850300	810	2.620672671294443e-09	2.2442262845905213e-10	8.9141791872253e-09
2L	17850300	17910000	946	1.1751739551845162e-08	3.2780337037341386e-09	2.120161958588551e-08
2L	17910000	17969700	696	7.759716044738631e-09	1.706152527610917e-09	1.852369548584714e-08
2L	17969700	18029400	599	1.4627787571078226e-09	0	5.995010458156594e-09
2L	18029400	18089100	605	5.740580238803893e-09	1.2444286322227707e-09	1.5881363474161164e-08
2L	18089100	18148800	650	3.810179422947525e-09	8.087694579386638e-10	1.2704444169875639e-08
2L	18148800	18208500	768	1.816161310000336e-09	0	6.092157778017575e-09
2L	18208500	18268200	745	1.5725058339073911e-09	0	5.84850230192463e-09
2L	18268200	18327900	938	2.8186027791539396e-09	3.052130383769669e-10	9.64235496467916e-09
2L	18327900	18387600	838	3.429143946626602e-09	5.806333636620658e-10	1.231142436891094e-08
2L	18387600	18447300	818	6.4226956113295144e-09	1.3739645558836156e-09	1.6972672903103386e-08
2L	18447300	18507000	889	5.69537754345206e-10	0	4.4124461902589325e-09
2L	18507000	18566700	867	2.4233669505760187e-09	2.711690774062801e-11	8.716873466506875e-09
2L	18566700	18626400	1106	3.35845561619598e-09	6.415826007445537e-10	1.1185200912509198e-08
2L	18626400	18686100	884	2.231767837915536e-09	0	8.07329347889715e-09
2L	18686100	18745800	520	1.7310241920115948e-09	0	6.879942683582545e-09
2L	18745800	18805500	740	1.8642575909184515e-09	0	6.14025405893569e-09
2L	18805500	18865200	760	3.775771423900548e-09	9.272608409360115e-10	1.2658051846184885e-08
2L	18865200	18924900	948	1.4212627228249409e-08	4.366468162397787e-09	2.126425171258268e-08
