chrom	start	end	nSites	recombRate
2L	12619200	12672000	1287	6.831912905032552e-09
2L	12672000	12724800	1004	3.733805645983344e-09
2L	12724800	12777600	924	8.671023965679277e-09
2L	12777600	12830400	731	6.7699509403211204e-09
2L	12830400	12883200	924	9.726566687022852e-09
2L	12883200	12936000	769	3.904439607128455e-09
2L	12936000	12988800	790	3.1143687242901296e-09
2L	12988800	13041600	680	4.112006662031733e-09
2L	13041600	13094400	996	5.782971985477596e-09
2L	13094400	13147200	1229	1.262087221917508e-08
2L	13147200	13200000	609	1.6189231139249663e-08
2L	13200000	13252800	850	6.248268735117616e-09
2L	13252800	13305600	997	4.514655662663807e-09
2L	13305600	13358400	1153	1.0319906583603599e-08
2L	13358400	13411200	503	7.872505979886061e-09
2L	13411200	13464000	953	5.914222978700029e-09
2L	13464000	13516800	832	2.409996063952354e-09
2L	13516800	13569600	719	3.5634254701453313e-09
2L	13569600	13622400	1017	6.0201901877274006e-09
2L	13622400	13675200	802	7.83609173608907e-09
2L	13675200	13728000	1184	1.762874013861173e-08
2L	13728000	13780800	1017	5.986931905216e-09
2L	13780800	13833600	564	5.7876359954546906e-09
2L	13833600	13886400	902	6.0392207019555885e-09
2L	13886400	13939200	1127	4.853177063963889e-09
2L	13939200	13992000	1233	1.5615774863256507e-08
2L	13992000	14044800	1172	6.792873957192829e-09
2L	14044800	14097600	1028	6.653906762699946e-09
2L	14097600	14150400	887	4.240322769169424e-09
2L	14150400	14203200	1045	6.839806192050622e-09
2L	14203200	14256000	1171	9.086415244597024e-09
2L	14256000	14308800	1015	6.95169020168746e-11
2L	14308800	14361600	1211	3.4031628685502554e-09
2L	14361600	14414400	1136	5.8836243662070045e-09
2L	14414400	14467200	1146	1.1223604480004834e-08
2L	14467200	14520000	1005	5.939560903760604e-09
2L	14520000	14572800	1135	6.060412339065547e-09
2L	14572800	14625600	861	5.936086864890119e-09
2L	14625600	14678400	826	5.220406659202794e-09
2L	14678400	14731200	999	9.042179049939484e-10
2L	14731200	14784000	935	3.3858851648430847e-09
2L	14784000	14836800	925	1.549103289348163e-09
2L	14836800	14889600	917	1.6699287051807498e-08
2L	14889600	14942400	980	1.8674021051062834e-08
2L	14942400	14995200	874	5.2610021569260476e-09
2L	14995200	15048000	1133	9.40978509909606e-09
2L	15048000	15100800	1065	2.3076349473214742e-08
2L	15100800	15153600	1103	6.737525073616998e-09
2L	15153600	15206400	1036	4.796193803010353e-09
2L	15206400	15259200	1024	6.652412249224818e-09
2L	15259200	15312000	1105	8.611734078267902e-09
2L	15312000	15364800	1160	7.372374095026545e-09
2L	15364800	15417600	1018	6.9156428814847275e-09
2L	15417600	15470400	952	1.1083140516167428e-08
2L	15470400	15523200	948	4.739260171183538e-09
2L	15523200	15576000	998	4.1570924677885564e-09
2L	15576000	15628800	823	6.489205738067416e-09
2L	15628800	15681600	421	1.0023941030532257e-08
2L	15681600	15734400	111	9.552763229375774e-09
2L	15734400	15787200	1168	1.0111414622247789e-08
2L	15787200	15840000	984	7.97001593454626e-09
2L	15840000	15892800	821	9.077835609315093e-09
2L	15892800	15945600	698	5.777124772002078e-09
2L	15945600	15998400	791	4.1019319493073255e-09
2L	15998400	16051200	907	8.30525053413576e-09
2L	16051200	16104000	894	5.4044980092322405e-09
2L	16104000	16156800	928	1.0916677657536295e-08
2L	16156800	16209600	966	1.049685133938519e-08
2L	16209600	16262400	1134	2.151441848951221e-09
2L	16262400	16315200	729	4.371756487812967e-09
2L	16315200	16368000	1051	6.09531289449754e-09
2L	16368000	16420800	1416	1.899238132459161e-08
2L	16420800	16473600	1229	6.912166586744845e-09
2L	16473600	16526400	949	9.853616687461805e-09
2L	16526400	16579200	1041	1.3840943673126035e-08
2L	16579200	16632000	1069	9.788228621104562e-09
2L	16632000	16684800	792	4.313649803900013e-09
2L	16684800	16737600	883	3.977060554737965e-09
2L	16737600	16790400	678	5.012017339904522e-09
2L	16790400	16843200	819	9.127539743693736e-09
2L	16843200	16896000	993	2.094101032698353e-09
2L	16896000	16948800	901	3.4809768275103223e-09
2L	16948800	17001600	761	5.218585044665186e-09
2L	17001600	17054400	1016	1.1510718565531977e-08
2L	17054400	17107200	796	4.082423190767097e-09
2L	17107200	17160000	874	3.0545182533337457e-09
2L	17160000	17212800	854	5.91800155993903e-09
2L	17212800	17265600	945	1.3030195491400137e-08
2L	17265600	17318400	855	4.43710676835782e-09
2L	17318400	17371200	981	3.192349617585531e-09
2L	17371200	17424000	1074	8.460175748738908e-09
2L	17424000	17476800	856	9.096038219474796e-09
2L	17476800	17529600	913	1.57478362775596e-08
2L	17529600	17582400	1057	5.211783598434984e-09
2L	17582400	17635200	965	7.741601262615979e-09
2L	17635200	17688000	803	2.4245464215592545e-09
2L	17688000	17740800	667	5.55169461528326e-09
2L	17740800	17793600	1093	1.1202727536675678e-08
2L	17793600	17846400	822	4.891710697058816e-09
2L	17846400	17899200	998	1.7723281228154402e-08
2L	17899200	17952000	753	2.1666399518281502e-08
2L	17952000	18004800	598	3.150074625096644e-09
2L	18004800	18057600	702	9.30781529063914e-09
2L	18057600	18110400	593	3.2860640719862557e-09
2L	18110400	18163200	758	3.253643844955623e-09
2L	18163200	18216000	761	1.0631888245422161e-08
2L	18216000	18268800	809	1.3818306587700322e-08
2L	18268800	18321600	985	6.158849456047673e-09
2L	18321600	18374400	782	5.898179235552699e-09
2L	18374400	18427200	821	2.4648901366307143e-08
2L	18427200	18480000	886	4.0635347963108835e-09
2L	18480000	18532800	954	7.0130411706098026e-09
2L	18532800	18585600	918	9.102968250260594e-09
2L	18585600	18638400	924	8.162195140329217e-09
2L	18638400	18691200	755	6.405555844978815e-09
2L	18691200	18744000	491	5.4167225654914334e-09
2L	18744000	18796800	686	1.0915977210088708e-08
2L	18796800	18849600	720	8.224555265989117e-09
2L	18849600	18902400	819	2.708430074483573e-08
2L	18902400	18955200	907	1.6863482091984e-08
2L	18955200	19008000	650	9.28787960881564e-09
2L	19008000	19060800	439	6.4423829128753495e-09
2L	19060800	19113600	735	6.495792876704959e-09
2L	19113600	19166400	549	2.6206378688429513e-09
2L	19166400	19219200	741	7.65873754001203e-09
2L	19219200	19272000	964	1.759037950250114e-08
2L	19272000	19324800	927	1.4987286265610162e-08
2L	19324800	19377600	884	1.2241035415830614e-08
2L	19377600	19430400	926	1.2473966902259875e-08
2L	19430400	19483200	544	8.908083129136634e-09
2L	19483200	19536000	325	4.8532887294990125e-09
2L	19536000	19588800	497	5.711624476142364e-09
2L	19588800	19641600	756	8.931335502940219e-09
2L	19641600	19694400	545	9.445275564375215e-09
2L	19694400	19747200	595	7.763853158342253e-09
2L	19747200	19800000	797	9.64318185858833e-09
2L	19800000	19852800	1110	2.057870191654505e-08
2L	19852800	19905600	1182	1.4159875809546802e-08
2L	19905600	19958400	1176	1.2639254452935473e-08
2L	19958400	20011200	848	2.2613624414686637e-08
2L	20011200	20064000	963	4.778083683495904e-09
2L	20064000	20116800	766	2.2090513116220503e-08
2L	20116800	20169600	533	1.9167461886300736e-08
2L	20222400	20275200	674	5.536086254929438e-09
2L	20275200	20328000	649	9.770099326700243e-09
2L	20328000	20380800	641	1.6183583393975932e-08
2L	20380800	20433600	681	1.0967644514809584e-08
2L	20433600	20486400	566	2.015557864527108e-08
2L	20486400	20539200	888	1.6695111120323092e-08
2L	20539200	20592000	524	5.424743309130401e-09
2L	20592000	20644800	712	2.5243683891366896e-08
2L	20644800	20697600	520	1.5090956294632793e-08
2L	20697600	20750400	439	1.7911221232365978e-08
2L	20750400	20803200	631	2.1281384084753886e-08
2L	20803200	20856000	687	1.918637509532031e-08
2L	20856000	20908800	612	2.079769635985956e-08
2L	20908800	20961600	677	2.2089792929915698e-08
2L	20961600	21014400	529	1.4304989966161252e-08
2L	21014400	21067200	347	3.071633534444373e-09
2L	21067200	21120000	512	9.92642318032917e-09
2L	21120000	21172800	303	1.0290535164062225e-08
2L	21172800	21225600	346	5.009143362293484e-09
2L	21225600	21278400	235	2.742211182354747e-09
2L	21278400	21331200	353	1.0386173875058094e-08
2L	21331200	21384000	253	3.554328676804273e-09
2L	21384000	21436800	88	3.93326623421059e-09
2L	21542400	21595200	67	6.331073805117258e-09
2L	21595200	21648000	160	3.9934787722051e-09
2L	21648000	21700800	183	3.2401018609689226e-09
2L	21700800	21753600	240	6.812092836515618e-09
2L	21753600	21806400	366	6.027605230433428e-09
2L	21806400	21859200	495	1.1433964301220877e-08
2L	21859200	21912000	569	1.845835246419783e-08
2L	21912000	21964800	452	1.2430520267603225e-08
2L	21964800	22017600	435	2.0711667652492435e-08
2L	22017600	22070400	487	1.631134945670845e-08
2L	22070400	22123200	404	6.774109635553417e-09
2L	22123200	22176000	327	5.302778602278325e-09
2L	22176000	22228800	221	5.2743693110345265e-09
2L	22228800	22281600	180	1.6914136822865372e-09
2L	22281600	22334400	144	4.001453270521441e-09
2L	22334400	22387200	131	5.911344489350198e-09
2L	22492800	22545600	70	4.311920680007659e-09
2L	22545600	22598400	206	6.681595303671588e-09
2L	22598400	22651200	83	5.690554655979813e-09
2L	22651200	22704000	143	6.4554511642888035e-09
2L	22704000	22756800	243	2.760099098733649e-09
2L	22915200	22968000	102	2.8473256727502737e-09
2L	22968000	23020800	121	7.763576814341193e-09
2L	23020800	23073600	67	1.3557014875186635e-08
2L	23126400	23179200	58	6.6473737649279175e-09
2L	23284800	23337600	147	6.588664763886121e-09
2R	528300	587000	51	8.525673224761878e-09
2R	1056600	1115300	57	6.866411915711984e-09
2R	1291400	1350100	67	4.3175231316536654e-09
2R	1350100	1408800	57	6.195660732858432e-09
2R	1408800	1467500	58	6.996211256977822e-09
2R	1702300	1761000	87	5.14621337062398e-09
2R	1878400	1937100	54	8.457216612058156e-09
2R	1995800	2054500	65	4.934627484390982e-09
2R	2054500	2113200	52	5.154786802265069e-09
2R	3287200	3345900	140	4.650696994549536e-09
2R	3463300	3522000	66	5.767063594494051e-09
2R	3522000	3580700	50	1.0895109290237136e-08
2R	3639400	3698100	67	5.648366514462689e-09
2R	3756800	3815500	82	7.446161327114004e-09
2R	3815500	3874200	64	6.792357363101048e-09
2R	3874200	3932900	66	4.775677798784623e-09
2R	3991600	4050300	55	9.13343320249188e-09
2R	4109000	4167700	81	6.072578242720431e-09
2R	4167700	4226400	66	1.2160327740402292e-08
2R	4343800	4402500	51	5.551440829976163e-09
2R	4402500	4461200	51	6.205471508863458e-09
2R	4461200	4519900	130	5.819970499448258e-09
2R	4519900	4578600	94	5.018162328140368e-09
2R	4578600	4637300	171	1.0179868979082115e-08
2R	4637300	4696000	111	5.982661544448579e-09
2R	4696000	4754700	212	6.405340409451456e-09
2R	4754700	4813400	92	5.617955139129567e-09
2R	4813400	4872100	165	1.7627499122747882e-09
2R	4872100	4930800	195	2.9766208272060107e-09
2R	4930800	4989500	248	7.096642562506382e-09
2R	4989500	5048200	360	4.162044101113695e-09
2R	5048200	5106900	257	9.430566167975867e-09
2R	5106900	5165600	277	6.579619855541179e-09
2R	5165600	5224300	251	1.4482397034177273e-08
2R	5224300	5283000	282	7.569451357236476e-09
2R	5283000	5341700	215	1.5147603431046263e-08
2R	5341700	5400400	259	4.417706291548619e-09
2R	5400400	5459100	297	2.0057567041653852e-08
2R	5459100	5517800	404	1.7948205083185563e-08
2R	5517800	5576500	201	4.1057330892402925e-09
2R	5576500	5635200	190	1.6406038842078506e-10
2R	5635200	5693900	351	1.0932502017384823e-08
2R	5693900	5752600	523	1.7534499784657964e-08
2R	5752600	5811300	426	1.211850899749883e-08
2R	5811300	5870000	646	1.3252266658587688e-08
2R	5870000	5928700	471	1.8607247034945167e-08
2R	5928700	5987400	390	8.811730711748339e-10
2R	5987400	6046100	360	6.870081363556789e-10
2R	6046100	6104800	421	8.76766089888306e-09
2R	6104800	6163500	488	6.926008601361271e-09
2R	6163500	6222200	418	1.1516452421570323e-08
2R	6222200	6280900	211	8.792511556154009e-09
2R	6457000	6515700	250	2.1765226049006053e-09
2R	6515700	6574400	876	2.6372876236764748e-08
2R	6574400	6633100	574	1.627574066402986e-08
2R	6633100	6691800	424	4.971553810540961e-09
2R	6691800	6750500	434	5.055169865588616e-09
2R	6750500	6809200	576	8.895225237544396e-09
2R	6809200	6867900	661	1.3464509566782391e-08
2R	6867900	6926600	789	1.10272863178468e-08
2R	6926600	6985300	510	2.6751035795500843e-09
2R	6985300	7044000	504	1.797270650367558e-08
2R	7044000	7102700	788	6.379365201286393e-09
2R	7102700	7161400	639	1.1020062460072118e-08
2R	7161400	7220100	463	3.842709996964853e-09
2R	7220100	7278800	480	1.1615984199177062e-08
2R	7278800	7337500	620	2.1689022780795017e-09
2R	7337500	7396200	659	1.070204860348753e-08
2R	7396200	7454900	559	4.114195983280957e-09
2R	7454900	7513600	418	1.7479186989280342e-09
2R	7513600	7572300	407	8.338197506670454e-09
2R	7572300	7631000	647	8.024371107652968e-09
2R	7631000	7689700	690	6.081527276616025e-09
2R	7689700	7748400	822	2.2466600946611795e-08
2R	7748400	7807100	604	6.792480307983153e-09
2R	7807100	7865800	472	4.162420831302898e-09
2R	7865800	7924500	767	8.451602317097819e-09
2R	7924500	7983200	561	3.756853863606554e-09
2R	7983200	8041900	848	7.79812827398409e-09
2R	8041900	8100600	553	1.4978420839874075e-08
2R	8100600	8159300	430	5.14740446966529e-09
2R	8159300	8218000	763	1.674507083765476e-08
2R	8218000	8276700	822	1.5457457385048493e-08
2R	8276700	8335400	858	1.4060855832309377e-08
2R	8335400	8394100	586	9.548398122093703e-09
2R	8394100	8452800	731	1.0802596086290005e-08
2R	8452800	8511500	632	7.0271877275947445e-09
2R	8511500	8570200	846	3.079454633641758e-09
2R	8570200	8628900	907	1.0742675683382332e-08
2R	8628900	8687600	701	5.35595169982131e-09
2R	8687600	8746300	643	2.549883653158976e-09
2R	8746300	8805000	690	1.0502240047405884e-08
2R	8805000	8863700	717	7.86724642038831e-09
2R	8863700	8922400	378	8.557787493793492e-10
2R	8922400	8981100	451	4.186571041126257e-09
2R	8981100	9039800	845	2.308417452018357e-08
2R	9039800	9098500	710	2.3160781025049204e-08
2R	9098500	9157200	360	1.0033067150175468e-08
2R	9157200	9215900	695	5.361665817002439e-09
2R	9215900	9274600	822	1.7715998012816228e-08
2R	9274600	9333300	590	8.298246059659879e-09
2R	9333300	9392000	635	9.995197870617788e-09
2R	9392000	9450700	1014	9.526066143003858e-09
2R	9450700	9509400	734	3.2776372718559322e-09
2R	9509400	9568100	587	1.2845382827131185e-08
2R	9568100	9626800	663	2.9177843695433165e-09
2R	9626800	9685500	703	5.476284285165077e-09
2R	9685500	9744200	671	3.626631546828888e-09
2R	9744200	9802900	1055	9.856169767651202e-09
2R	9802900	9861600	799	1.0734404538240361e-08
2R	9861600	9920300	486	5.872853717773804e-09
2R	9920300	9979000	714	1.4552066881640756e-08
2R	9979000	10037700	661	4.3222694808637296e-09
2R	10037700	10096400	693	1.7295645583624326e-08
2R	10096400	10155100	810	6.261288485339046e-09
2R	10155100	10213800	1033	2.1554160992332086e-08
2R	10213800	10272500	1260	1.2168069320203452e-08
2R	10272500	10331200	1067	1.7002588621660073e-08
2R	10331200	10389900	1345	1.5963668802683397e-08
2R	10389900	10448600	1284	1.826234251019608e-08
2R	10448600	10507300	974	1.5877721306614544e-08
2R	10507300	10566000	811	1.1742903923158373e-08
2R	10566000	10624700	819	8.815340102782597e-10
2R	10624700	10683400	1016	4.794062006430737e-09
2R	10683400	10742100	1084	4.5064465539302395e-09
2R	10742100	10800800	1182	1.7388235557626855e-08
2R	10800800	10859500	1125	7.979514272639881e-09
2R	10859500	10918200	1223	6.423900574910492e-09
2R	10918200	10976900	1249	1.2004978986319965e-08
2R	10976900	11035600	845	2.2322273242465673e-08
2R	11035600	11094300	1087	1.527212572982653e-08
2R	11094300	11153000	1178	5.300512581469623e-09
